Kantons-Nummer;Kanton;Gemeinde-Nummer;Gemeinde;Stimmberechtigte;eingelegte Stimmzettel;Stimmbeteiligung;leere Stimmzettel;ungültige Stimmzettel;gültige Stimmen;Ja-Stimmen;Nein-Stimmen;Ja in Prozent
1;Zürich;14;Wettswil am Albis;3'502;1'863;53.2;30;0;1'833;890;943;48.6
1;Zürich;21;Adlikon;497;286;57.5;4;0;282;98;184;34.8
1;Zürich;22;Benken (ZH);596;294;49.3;3;0;291;115;176;39.5
1;Zürich;23;Berg am Irchel;451;269;59.6;6;0;263;107;156;40.7
1;Zürich;24;Buch am Irchel;725;390;53.8;9;0;381;164;217;43.0
1;Zürich;25;Dachsen;1'346;680;50.5;25;0;655;236;419;36.0
1;Zürich;26;Dorf;514;265;51.6;9;0;256;84;172;32.8
1;Zürich;27;Feuerthalen;2'361;1'117;47.3;37;1;1'079;365;714;33.8
1;Zürich;28;Flaach;980;483;49.3;8;0;475;175;300;36.8
1;Zürich;29;Flurlingen;1'039;560;53.9;26;0;534;234;300;43.8
1;Zürich;30;Andelfingen;1'531;855;55.8;16;0;839;349;490;41.6
1;Zürich;31;Henggart;1'675;867;51.8;19;0;848;343;505;40.4
1;Zürich;32;Humlikon;347;173;49.9;2;0;171;94;77;55.0
1;Zürich;33;Kleinandelfingen;1'480;734;49.6;27;0;707;254;453;35.9
1;Zürich;34;Laufen-Uhwiesen;1'290;671;52.0;19;0;652;284;368;43.6
1;Zürich;35;Marthalen;1'399;753;53.8;20;0;733;295;438;40.2
1;Zürich;37;Ossingen;1'237;584;47.2;6;0;578;240;338;41.5
1;Zürich;38;Rheinau;866;477;55.1;15;1;461;140;321;30.4
1;Zürich;39;Thalheim an der Thur;692;340;49.1;8;0;332;122;210;36.7
1;Zürich;40;Trüllikon;805;405;50.3;9;0;396;173;223;43.7
1;Zürich;41;Truttikon;350;201;57.4;5;0;196;74;122;37.8
1;Zürich;43;Volken;261;127;48.7;3;0;124;36;88;29.0
1;Zürich;51;Bachenbülach;2'543;1'079;42.4;29;0;1'050;385;665;36.7
1;Zürich;52;Bassersdorf;7'244;3'212;44.3;54;0;3'158;1'172;1'986;37.1
1;Zürich;53;Bülach;12'874;5'212;40.5;69;21;5'122;1'748;3'374;34.1
1;Zürich;54;Dietlikon;4'744;2'195;46.3;39;0;2'156;797;1'359;37.0
1;Zürich;55;Eglisau;3'313;1'626;49.1;29;0;1'597;599;998;37.5
1;Zürich;56;Embrach;5'680;2'284;40.2;41;1;2'242;856;1'386;38.2
1;Zürich;57;Freienstein-Teufen;1'669;859;51.5;17;0;842;334;508;39.7
1;Zürich;58;Glattfelden;3'197;1'291;40.4;21;0;1'270;443;827;34.9
1;Zürich;59;Hochfelden;1'338;614;45.9;11;4;599;192;407;32.1
1;Zürich;60;Höri;1'556;565;36.3;6;0;559;231;328;41.3
1;Zürich;61;Hüntwangen;762;367;48.2;3;0;364;134;230;36.8
1;Zürich;62;Kloten;11'216;3'991;35.6;81;0;3'910;1'444;2'466;36.9
1;Zürich;63;Lufingen;1'621;744;45.9;7;0;737;295;442;40.0
1;Zürich;64;Nürensdorf;3'958;1'941;49.0;29;0;1'912;837;1'075;43.8
1;Zürich;65;Oberembrach;803;410;51.1;8;0;402;164;238;40.8
1;Zürich;66;Opfikon;9'275;3'239;34.9;65;0;3'174;1'288;1'886;40.6
1;Zürich;67;Rafz;2'970;1'495;50.3;28;0;1'467;471;996;32.1
1;Zürich;68;Rorbas;1'663;630;37.9;9;0;621;246;375;39.6
1;Zürich;69;Wallisellen;9'694;4'297;44.3;46;19;4'232;1'796;2'436;42.4
1;Zürich;70;Wasterkingen;428;213;49.8;4;0;209;72;137;34.4
1;Zürich;71;Wil (ZH);1'044;548;52.5;17;0;531;189;342;35.6
1;Zürich;72;Winkel;3'368;1'749;51.9;29;0;1'720;835;885;48.5
1;Zürich;81;Bachs;456;231;50.7;7;0;224;83;141;37.1
1;Zürich;82;Boppelsen;1'021;549;53.8;10;0;539;215;324;39.9
1;Zürich;83;Buchs (ZH);3'921;1'529;39.0;29;0;1'500;531;969;35.4
1;Zürich;84;Dällikon;2'427;953;39.3;9;0;944;393;551;41.6
1;Zürich;85;Dänikon;1'090;518;47.5;11;0;507;201;306;39.6
1;Zürich;86;Dielsdorf;3'347;1'397;41.7;29;0;1'368;480;888;35.1
1;Zürich;87;Hüttikon;582;286;49.1;5;0;281;124;157;44.1
1;Zürich;88;Neerach;2'395;1'294;54.0;15;0;1'279;641;638;50.1
1;Zürich;89;Niederglatt;3'062;1'224;40.0;21;0;1'203;437;766;36.3
1;Zürich;90;Niederhasli;5'539;2'248;40.6;30;0;2'218;777;1'441;35.0
1;Zürich;91;Niederweningen;2'055;1'004;48.9;10;0;994;346;648;34.8
1;Zürich;92;Oberglatt;3'643;1'193;32.7;21;0;1'172;361;811;30.8
1;Zürich;93;Oberweningen;1'217;628;51.6;6;0;622;192;430;30.9
1;Zürich;94;Otelfingen;1'806;859;47.6;21;0;838;319;519;38.1
1;Zürich;95;Regensberg;316;187;59.2;0;0;187;73;114;39.0
1;Zürich;96;Regensdorf;9'731;3'744;38.5;64;0;3'680;1'415;2'265;38.5
1;Zürich;97;Rümlang;4'551;1'690;37.1;31;0;1'659;553;1'106;33.3
1;Zürich;98;Schleinikon;630;289;45.9;5;0;284;83;201;29.2
1;Zürich;99;Schöfflisdorf;943;484;51.3;11;0;473;199;274;42.1
1;Zürich;100;Stadel;1'652;714;43.2;3;0;711;256;455;36.0
1;Zürich;101;Steinmaur;2'159;984;45.6;14;0;970;365;605;37.6
1;Zürich;102;Weiach;1'227;424;34.6;5;0;419;147;272;35.1
1;Zürich;111;Bäretswil;3'601;1'977;54.9;61;2;1'914;643;1'271;33.6
1;Zürich;112;Bubikon;5'213;2'582;49.5;34;0;2'548;806;1'742;31.6
1;Zürich;113;Dürnten;5'028;2'417;48.1;55;0;2'362;843;1'519;35.7
1;Zürich;114;Fischenthal;1'720;770;44.8;12;0;758;236;522;31.1
1;Zürich;115;Gossau (ZH);7'099;3'317;46.7;75;2;3'240;1'149;2'091;35.5
1;Zürich;116;Grüningen;2'647;1'249;47.2;21;1;1'227;473;754;38.5
1;Zürich;117;Hinwil;7'875;3'713;47.1;70;0;3'643;1'296;2'347;35.6
1;Zürich;118;Rüti (ZH);7'707;3'243;42.1;53;1;3'189;1'014;2'175;31.8
1;Zürich;119;Seegräben;980;550;56.1;17;0;533;182;351;34.1
1;Zürich;120;Wald (ZH);6'204;2'853;46.0;64;0;2'789;862;1'927;30.9
1;Zürich;121;Wetzikon (ZH);15'287;6'273;41.0;118;2;6'153;1'969;4'184;32.0
1;Zürich;131;Adliswil;9'685;4'508;46.5;76;0;4'432;1'781;2'651;40.2
1;Zürich;135;Kilchberg (ZH);5'004;2'841;56.8;44;0;2'797;1'640;1'157;58.6
1;Zürich;136;Langnau am Albis;4'642;2'214;47.7;46;0;2'168;968;1'200;44.6
1;Zürich;137;Oberrieden;3'321;1'895;57.1;33;0;1'862;858;1'004;46.1
1;Zürich;138;Richterswil;8'825;4'219;47.8;88;1;4'130;1'706;2'424;41.3
1;Zürich;139;Rüschlikon;3'357;1'846;55.0;28;0;1'818;984;834;54.1
1;Zürich;141;Thalwil;10'668;5'604;52.5;83;0;5'521;2'424;3'097;43.9
1;Zürich;151;Erlenbach (ZH);3'482;1'981;56.9;28;1;1'952;1'181;771;60.5
1;Zürich;152;Herrliberg;4'273;2'503;58.6;38;0;2'465;1'508;957;61.2
1;Zürich;153;Hombrechtikon;5'744;2'903;50.5;68;1;2'834;1'051;1'783;37.1
1;Zürich;154;Küsnacht (ZH);8'788;4'977;56.6;111;0;4'866;2'816;2'050;57.9
1;Zürich;155;Männedorf;7'416;4'142;55.9;62;0;4'080;1'752;2'328;42.9
1;Zürich;156;Meilen;9'075;5'117;56.4;84;1;5'032;2'622;2'410;52.1
1;Zürich;157;Oetwil am See;2'747;1'077;39.2;22;0;1'055;391;664;37.1
1;Zürich;158;Stäfa;9'910;5'451;55.0;111;0;5'340;2'334;3'006;43.7
1;Zürich;159;Uetikon am See;4'158;2'215;53.3;30;0;2'185;984;1'201;45.0
1;Zürich;160;Zumikon;3'410;2'003;58.7;23;0;1'980;1'217;763;61.5
1;Zürich;161;Zollikon;7'977;4'597;57.6;105;0;4'492;2'650;1'842;59.0
1;Zürich;172;Fehraltorf;4'288;1'978;46.1;52;0;1'926;703;1'223;36.5
1;Zürich;173;Hittnau;2'754;1'319;47.9;25;0;1'294;437;857;33.8
1;Zürich;176;Lindau;3'612;1'754;48.6;22;0;1'732;664;1'068;38.3
1;Zürich;177;Pfäffikon;8'212;3'880;47.2;66;0;3'814;1'139;2'675;29.9
1;Zürich;178;Russikon;3'077;1'560;50.7;26;1;1'533;629;904;41.0
1;Zürich;180;Weisslingen;2'489;1'201;48.3;16;0;1'185;465;720;39.2
1;Zürich;181;Wila;1'395;646;46.3;6;0;640;211;429;33.0
1;Zürich;182;Wildberg;740;375;50.7;12;0;363;138;225;38.0
1;Zürich;191;Dübendorf;16'257;6'701;41.2;116;0;6'585;2'546;4'039;38.7
1;Zürich;192;Egg;5'686;2'902;51.0;47;0;2'855;1'217;1'638;42.6
1;Zürich;193;Fällanden;5'577;2'556;45.8;47;0;2'509;1'034;1'475;41.2
1;Zürich;194;Greifensee;3'385;1'698;50.2;45;0;1'653;607;1'046;36.7
1;Zürich;195;Maur;6'960;3'772;54.2;64;1;3'707;1'841;1'866;49.7
1;Zürich;196;Mönchaltorf;2'761;1'318;47.7;33;0;1'285;461;824;35.9
1;Zürich;197;Schwerzenbach;3'048;1'480;48.6;31;0;1'449;496;953;34.2
1;Zürich;198;Uster;22'158;10'535;47.5;190;0;10'345;3'303;7'042;31.9
1;Zürich;199;Volketswil;11'394;4'841;42.5;74;0;4'767;1'770;2'997;37.1
1;Zürich;200;Wangen-Brüttisellen;4'692;1'977;42.1;28;0;1'949;846;1'103;43.4
1;Zürich;211;Altikon;523;280;53.5;2;0;278;99;179;35.6
1;Zürich;213;Brütten;1'593;871;54.7;21;0;850;428;422;50.4
1;Zürich;214;Dägerlen;795;416;52.3;13;0;403;129;274;32.0
1;Zürich;215;Dättlikon;569;341;59.9;11;0;330;135;195;40.9
1;Zürich;216;Dinhard;1'261;663;52.6;18;0;645;263;382;40.8
1;Zürich;218;Ellikon an der Thur;746;325;43.6;3;0;322;102;220;31.7
1;Zürich;219;Elsau;2'463;1'252;50.8;29;0;1'223;465;758;38.0
1;Zürich;220;Hagenbuch;780;358;45.9;5;0;353;118;235;33.4
1;Zürich;221;Hettlingen;2'296;1'338;58.3;35;0;1'303;558;745;42.8
1;Zürich;223;Neftenbach;4'001;1'991;49.8;53;0;1'938;709;1'229;36.6
1;Zürich;224;Pfungen;2'363;996;42.1;10;0;986;349;637;35.4
1;Zürich;225;Rickenbach (ZH);1'907;965;50.6;16;0;949;345;604;36.4
1;Zürich;226;Schlatt (ZH);526;243;46.2;15;0;228;69;159;30.3
1;Zürich;227;Seuzach;5'400;2'688;49.8;59;0;2'629;1'087;1'542;41.3
1;Zürich;228;Turbenthal;3'178;1'362;42.9;20;0;1'342;412;930;30.7
1;Zürich;230;Winterthur;70'725;35'207;49.8;871;2;34'334;9'937;24'397;28.9
1;Zürich;231;Zell (ZH);4'059;1'692;41.7;37;0;1'655;516;1'139;31.2
1;Zürich;241;Aesch (ZH);1'064;605;56.9;8;0;597;298;299;49.9
1;Zürich;242;Birmensdorf (ZH);4'124;2'093;50.8;40;1;2'052;909;1'143;44.3
1;Zürich;243;Dietikon;12'026;4'547;37.8;109;2;4'436;1'669;2'767;37.6
1;Zürich;244;Geroldswil;2'939;1'178;40.1;19;0;1'159;514;645;44.3
1;Zürich;245;Oberengstringen;3'728;1'532;41.1;20;0;1'512;613;899;40.5
1;Zürich;246;Oetwil an der Limmat;1'752;812;46.3;11;0;801;396;405;49.4
1;Zürich;247;Schlieren;8'975;3'180;35.4;83;2;3'095;1'138;1'957;36.8
1;Zürich;248;Uitikon;3'247;1'934;59.6;16;0;1'918;1'207;711;62.9
1;Zürich;249;Unterengstringen;2'503;1'123;44.9;29;0;1'094;535;559;48.9
1;Zürich;250;Urdorf;6'135;2'710;44.2;55;1;2'654;1'058;1'596;39.9
1;Zürich;251;Weiningen (ZH);2'786;1'191;42.7;16;0;1'175;480;695;40.9
1;Zürich;261;Zürich;233'859;119'381;51.0;2'351;3;117'027;37'255;79'772;31.8
1;Zürich;292;Stammheim;2'086;1'100;52.7;26;0;1'074;389;685;36.2
1;Zürich;293;Wädenswil;16'073;7'776;48.4;141;4;7'631;2'923;4'708;38.3
1;Zürich;294;Elgg;3'325;1'655;49.8;40;0;1'615;573;1'042;35.5
1;Zürich;295;Horgen;13'272;6'029;45.4;101;1;5'927;2'519;3'408;42.5
1;Zürich;296;Illnau-Effretikon;10'349;4'627;44.7;104;0;4'523;1'586;2'937;35.1
1;Zürich;297;Bauma;3'364;1'608;47.8;41;0;1'567;551;1'016;35.2
1;Zürich;298;Wiesendangen;4'857;2'655;54.7;49;0;2'606;1'075;1'531;41.3
2;Bern / Berne;301;Aarberg;3'324;1'511;45.5;36;0;1'475;509;966;34.5
2;Bern / Berne;302;Bargen (BE);777;370;47.6;10;0;360;111;249;30.8
2;Bern / Berne;303;Grossaffoltern;2'462;1'132;46.0;35;1;1'096;371;725;33.9
2;Bern / Berne;304;Kallnach;1'716;792;46.2;14;0;778;281;497;36.1
2;Bern / Berne;305;Kappelen;1'100;518;47.1;11;0;507;178;329;35.1
2;Bern / Berne;306;Lyss;10'721;4'368;40.7;80;32;4'256;1'311;2'945;30.8
2;Bern / Berne;307;Meikirch;1'984;1'080;54.4;20;9;1'051;309;742;29.4
2;Bern / Berne;309;Radelfingen;1'016;464;45.7;10;0;454;148;306;32.6
2;Bern / Berne;310;Rapperswil (BE);2'167;916;42.3;20;0;896;303;593;33.8
2;Bern / Berne;311;Schüpfen;2'942;1'397;47.5;36;0;1'361;440;921;32.3
2;Bern / Berne;312;Seedorf (BE);2'542;1'154;45.4;21;0;1'133;404;729;35.7
2;Bern / Berne;321;Aarwangen;3'254;1'410;43.3;26;0;1'384;444;940;32.1
2;Bern / Berne;322;Auswil;387;171;44.2;3;0;168;44;124;26.2
2;Bern / Berne;323;Bannwil;538;253;47.0;3;1;249;78;171;31.3
2;Bern / Berne;324;Bleienbach;603;301;49.9;7;0;294;111;183;37.8
2;Bern / Berne;325;Busswil bei Melchnau;166;90;54.2;1;0;89;26;63;29.2
2;Bern / Berne;326;Gondiswil;611;246;40.3;11;0;235;81;154;34.5
2;Bern / Berne;329;Langenthal;10'302;4'410;42.8;4;93;4'313;1'485;2'828;34.4
2;Bern / Berne;331;Lotzwil;1'848;743;40.2;10;0;733;229;504;31.2
2;Bern / Berne;332;Madiswil;2'615;1'200;45.9;26;0;1'174;342;832;29.1
2;Bern / Berne;333;Melchnau;1'106;461;41.7;12;0;449;125;324;27.8
2;Bern / Berne;335;Oeschenbach;210;67;31.9;1;0;66;17;49;25.8
2;Bern / Berne;336;Reisiswil;158;69;43.7;2;0;67;19;48;28.4
2;Bern / Berne;337;Roggwil (BE);2'918;1'266;43.4;31;0;1'235;361;874;29.2
2;Bern / Berne;338;Rohrbach;1'293;501;38.7;14;0;487;104;383;21.4
2;Bern / Berne;339;Rohrbachgraben;318;133;41.8;2;0;131;26;105;19.8
2;Bern / Berne;340;Rütschelen;438;206;47.0;6;0;200;61;139;30.5
2;Bern / Berne;341;Schwarzhäusern;426;183;43.0;3;0;180;45;135;25.0
2;Bern / Berne;342;Thunstetten;2'334;917;39.3;22;0;895;263;632;29.4
2;Bern / Berne;344;Ursenbach;729;280;38.4;9;0;271;73;198;26.9
2;Bern / Berne;345;Wynau;1'036;382;36.9;4;0;378;63;315;16.7
2;Bern / Berne;351;Bern;89'025;44'118;49.6;1'131;18;42'969;9'329;33'640;21.7
2;Bern / Berne;352;Bolligen;4'806;2'799;58.2;25;23;2'751;949;1'802;34.5
2;Bern / Berne;353;Bremgarten bei Bern;3'200;1'849;57.8;64;0;1'785;571;1'214;32.0
2;Bern / Berne;354;Kirchlindach;2'464;1'410;57.2;37;0;1'373;433;940;31.5
2;Bern / Berne;355;Köniz;28'311;14'154;50.0;357;1;13'796;3'760;10'036;27.3
2;Bern / Berne;356;Muri bei Bern;9'358;5'328;56.9;129;30;5'169;2'221;2'948;43.0
2;Bern / Berne;357;Oberbalm;723;324;44.8;7;0;317;78;239;24.6
2;Bern / Berne;358;Stettlen;2'327;1'204;51.7;21;0;1'183;432;751;36.5
2;Bern / Berne;359;Vechigen;4'369;2'221;50.8;47;0;2'174;713;1'461;32.8
2;Bern / Berne;360;Wohlen bei Bern;7'062;3'942;55.8;92;2;3'848;1'193;2'655;31.0
2;Bern / Berne;361;Zollikofen;6'995;3'445;49.2;64;6;3'375;1'066;2'309;31.6
2;Bern / Berne;362;Ittigen;7'169;3'296;46.0;57;25;3'214;1'064;2'150;33.1
2;Bern / Berne;363;Ostermundigen;10'306;4'233;41.1;135;0;4'098;1'110;2'988;27.1
2;Bern / Berne;371;Biel/Bienne;31'360;11'122;35.5;356;0;10'766;2'798;7'968;26.0
2;Bern / Berne;372;Evilard;1'893;952;50.3;27;3;922;338;584;36.7
2;Bern / Berne;381;Arch;1'315;554;42.1;11;0;543;140;403;25.8
2;Bern / Berne;382;Büetigen;682;294;43.1;3;0;291;142;149;48.8
2;Bern / Berne;383;Büren an der Aare;2'525;1'098;43.5;21;0;1'077;317;760;29.4
2;Bern / Berne;385;Diessbach bei Büren;724;317;43.8;9;0;308;105;203;34.1
2;Bern / Berne;386;Dotzigen;1'135;495;43.6;13;0;482;120;362;24.9
2;Bern / Berne;387;Lengnau (BE);3'259;1'352;41.5;21;0;1'331;351;980;26.4
2;Bern / Berne;388;Leuzigen;993;364;36.7;9;0;355;106;249;29.9
2;Bern / Berne;390;Meinisberg;964;400;41.5;11;0;389;119;270;30.6
2;Bern / Berne;391;Oberwil bei Büren;717;343;47.8;9;0;334;99;235;29.6
2;Bern / Berne;392;Pieterlen;2'697;940;34.9;12;8;920;248;672;27.0
2;Bern / Berne;393;Rüti bei Büren;638;245;38.4;4;0;241;71;170;29.5
2;Bern / Berne;394;Wengi;486;205;42.2;10;0;195;67;128;34.4
2;Bern / Berne;401;Aefligen;834;342;41.0;4;0;338;91;247;26.9
2;Bern / Berne;402;Alchenstorf;493;208;42.2;4;0;204;61;143;29.9
2;Bern / Berne;403;Bäriswil;822;432;52.6;9;0;423;138;285;32.6
2;Bern / Berne;404;Burgdorf;11'725;5'152;43.9;102;40;5'010;1'351;3'659;27.0
2;Bern / Berne;405;Ersigen;1'647;750;45.5;19;0;731;226;505;30.9
2;Bern / Berne;406;Hasle bei Burgdorf;2'657;987;37.1;26;0;961;258;703;26.8
2;Bern / Berne;407;Heimiswil;1'348;541;40.1;14;0;527;165;362;31.3
2;Bern / Berne;409;Hindelbank;1'991;834;41.9;17;0;817;256;561;31.3
2;Bern / Berne;410;Höchstetten;371;151;40.7;1;0;150;36;114;24.0
2;Bern / Berne;411;Kernenried;426;194;45.5;2;0;192;58;134;30.2
2;Bern / Berne;412;Kirchberg (BE);4'228;1'920;45.4;47;0;1'873;666;1'207;35.6
2;Bern / Berne;413;Koppigen;1'701;758;44.6;4;4;750;217;533;28.9
2;Bern / Berne;414;Krauchthal;1'878;825;43.9;22;0;803;241;562;30.0
2;Bern / Berne;415;Lyssach;1'125;531;47.2;9;0;522;123;399;23.6
2;Bern / Berne;418;Oberburg;2'002;862;43.1;18;0;844;288;556;34.1
2;Bern / Berne;420;Rüdtligen-Alchenflüh;1'533;546;35.6;14;0;532;146;386;27.4
2;Bern / Berne;421;Rumendingen;59;28;47.5;3;0;25;11;14;44.0
2;Bern / Berne;422;Rüti bei Lyssach;147;68;46.3;5;0;63;18;45;28.6
2;Bern / Berne;423;Willadingen;172;101;58.7;1;0;100;18;82;18.0
2;Bern / Berne;424;Wynigen;1'715;819;47.8;24;0;795;244;551;30.7
2;Bern / Berne;431;Corgémont;1'199;544;45.4;12;0;532;144;388;27.1
2;Bern / Berne;432;Cormoret;377;179;47.5;4;0;175;43;132;24.6
2;Bern / Berne;433;Cortébert;494;208;42.1;9;0;199;61;138;30.7
2;Bern / Berne;434;Courtelary;957;405;42.3;15;0;390;115;275;29.5
2;Bern / Berne;435;La Ferrière;422;158;37.4;10;0;148;44;104;29.7
2;Bern / Berne;437;Mont-Tramelan;103;38;36.9;4;0;34;9;25;26.5
2;Bern / Berne;438;Orvin;919;358;39.0;11;0;347;98;249;28.2
2;Bern / Berne;441;Renan (BE);739;291;39.4;21;0;270;71;199;26.3
2;Bern / Berne;442;Romont (BE);161;71;44.1;4;0;67;23;44;34.3
2;Bern / Berne;443;Saint-Imier;3'052;1'216;39.8;55;9;1'152;339;813;29.4
2;Bern / Berne;444;Sonceboz-Sombeval;1'280;454;35.5;15;0;439;113;326;25.7
2;Bern / Berne;445;Sonvilier;867;320;36.9;14;0;306;59;247;19.3
2;Bern / Berne;446;Tramelan;3'292;1'331;40.4;34;24;1'273;316;957;24.8
2;Bern / Berne;448;Villeret;653;256;39.2;10;0;246;54;192;22.0
2;Bern / Berne;449;Sauge;616;244;39.6;7;0;237;42;195;17.7
2;Bern / Berne;450;Péry-La Heutte;1'334;499;37.4;13;0;486;143;343;29.4
2;Bern / Berne;491;Brüttelen;427;193;45.2;6;1;186;49;137;26.3
2;Bern / Berne;492;Erlach;961;453;47.1;11;0;442;154;288;34.8
2;Bern / Berne;493;Finsterhennen;345;157;45.5;3;0;154;48;106;31.2
2;Bern / Berne;494;Gals;614;252;41.0;11;0;241;84;157;34.9
2;Bern / Berne;495;Gampelen;663;260;39.2;4;0;256;91;165;35.5
2;Bern / Berne;496;Ins;2'443;1'196;49.0;36;0;1'160;406;754;35.0
2;Bern / Berne;497;Lüscherz;452;194;42.9;7;0;187;64;123;34.2
2;Bern / Berne;498;Müntschemier;899;445;49.5;7;0;438;170;268;38.8
2;Bern / Berne;499;Siselen;473;207;43.8;5;0;202;74;128;36.6
2;Bern / Berne;500;Treiten;326;156;47.9;3;0;153;57;96;37.3
2;Bern / Berne;501;Tschugg;328;176;53.7;4;0;172;57;115;33.1
2;Bern / Berne;502;Vinelz;698;361;51.7;8;0;353;119;234;33.7
2;Bern / Berne;533;Bätterkinden;2'584;1'164;45.0;27;0;1'137;317;820;27.9
2;Bern / Berne;536;Diemerswil;158;88;55.7;2;0;86;20;66;23.3
2;Bern / Berne;538;Fraubrunnen;4'071;1'983;48.7;41;0;1'942;613;1'329;31.6
2;Bern / Berne;540;Jegenstorf;4'332;2'245;51.8;55;0;2'190;683;1'507;31.2
2;Bern / Berne;541;Iffwil;332;166;50.0;8;0;158;54;104;34.2
2;Bern / Berne;543;Mattstetten;478;257;53.8;9;0;248;77;171;31.0
2;Bern / Berne;544;Moosseedorf;2'682;1'131;42.2;12;0;1'119;341;778;30.5
2;Bern / Berne;546;Münchenbuchsee;6'870;3'007;43.8;80;0;2'927;830;2'097;28.4
2;Bern / Berne;551;Urtenen-Schönbühl;4'156;1'646;39.6;34;0;1'612;483;1'129;30.0
2;Bern / Berne;552;Utzenstorf;3'384;1'541;45.5;30;1;1'510;464;1'046;30.7
2;Bern / Berne;553;Wiggiswil;167;87;52.1;1;0;86;27;59;31.4
2;Bern / Berne;554;Wiler bei Utzenstorf;750;297;39.6;5;0;292;93;199;31.8
2;Bern / Berne;556;Zielebach;262;105;40.1;0;0;105;35;70;33.3
2;Bern / Berne;557;Zuzwil (BE);438;243;55.5;8;0;235;92;143;39.1
2;Bern / Berne;561;Adelboden;2'669;1'324;49.6;50;0;1'274;425;849;33.4
2;Bern / Berne;562;Aeschi bei Spiez;1'807;900;49.8;23;0;877;316;561;36.0
2;Bern / Berne;563;Frutigen;5'414;2'731;50.4;122;0;2'609;771;1'838;29.6
2;Bern / Berne;564;Kandergrund;639;256;40.1;5;0;251;89;162;35.5
2;Bern / Berne;565;Kandersteg;900;450;50.0;5;0;445;187;258;42.0
2;Bern / Berne;566;Krattigen;906;413;45.6;14;0;399;126;273;31.6
2;Bern / Berne;567;Reichenbach im Kandertal;2'847;1'259;44.2;52;1;1'206;387;819;32.1
2;Bern / Berne;571;Beatenberg;907;436;48.1;7;0;429;123;306;28.7
2;Bern / Berne;572;Bönigen;1'928;852;44.2;16;0;836;259;577;31.0
2;Bern / Berne;573;Brienz (BE);2'410;1'054;43.7;25;2;1'027;313;714;30.5
2;Bern / Berne;574;Brienzwiler;402;182;45.3;4;0;178;53;125;29.8
2;Bern / Berne;575;Därligen;298;106;35.6;1;0;105;28;77;26.7
2;Bern / Berne;576;Grindelwald;2'615;957;36.6;26;0;931;364;567;39.1
2;Bern / Berne;577;Gsteigwiler;323;152;47.1;6;0;146;35;111;24.0
2;Bern / Berne;578;Gündlischwand;228;115;50.4;5;0;110;28;82;25.5
2;Bern / Berne;579;Habkern;513;255;49.7;7;0;248;84;164;33.9
2;Bern / Berne;580;Hofstetten bei Brienz;435;213;49.0;6;0;207;53;154;25.6
2;Bern / Berne;581;Interlaken;3'527;1'712;48.5;50;0;1'662;575;1'087;34.6
2;Bern / Berne;582;Iseltwald;330;153;46.4;2;0;151;50;101;33.1
2;Bern / Berne;584;Lauterbrunnen;1'491;651;43.7;25;6;620;196;424;31.6
2;Bern / Berne;585;Leissigen;846;376;44.4;11;0;365;126;239;34.5
2;Bern / Berne;586;Lütschental;178;59;33.1;1;0;58;12;46;20.7
2;Bern / Berne;587;Matten bei Interlaken;2'798;1'171;41.9;29;0;1'142;337;805;29.5
2;Bern / Berne;588;Niederried bei Interlaken;286;127;44.4;3;0;124;33;91;26.6
2;Bern / Berne;589;Oberried am Brienzersee;379;169;44.6;3;3;163;37;126;22.7
2;Bern / Berne;590;Ringgenberg (BE);1'997;779;39.0;22;0;757;213;544;28.1
2;Bern / Berne;591;Saxeten;92;35;38.0;0;0;35;7;28;20.0
2;Bern / Berne;592;Schwanden bei Brienz;496;231;46.6;15;1;215;54;161;25.1
2;Bern / Berne;593;Unterseen;4'108;1'939;47.2;47;0;1'892;563;1'329;29.8
2;Bern / Berne;594;Wilderswil;1'925;793;41.2;26;0;767;204;563;26.6
2;Bern / Berne;602;Arni (BE);782;354;45.3;7;0;347;107;240;30.8
2;Bern / Berne;603;Biglen;1'458;671;46.0;20;0;651;195;456;30.0
2;Bern / Berne;605;Bowil;1'103;437;39.6;10;0;427;107;320;25.1
2;Bern / Berne;606;Brenzikofen;396;198;50.0;5;0;193;47;146;24.4
2;Bern / Berne;607;Freimettigen;339;161;47.5;4;0;157;34;123;21.7
2;Bern / Berne;608;Grosshöchstetten;3'237;1'598;49.4;39;21;1'538;450;1'088;29.3
2;Bern / Berne;609;Häutligen;215;109;50.7;6;0;103;30;73;29.1
2;Bern / Berne;610;Herbligen;457;207;45.3;4;0;203;52;151;25.6
2;Bern / Berne;611;Kiesen;742;372;50.1;11;0;361;114;247;31.6
2;Bern / Berne;612;Konolfingen;4'149;2'012;48.5;50;0;1'962;634;1'328;32.3
2;Bern / Berne;613;Landiswil;544;238;43.8;8;0;230;74;156;32.2
2;Bern / Berne;614;Linden;1'090;470;43.1;8;0;462;126;336;27.3
2;Bern / Berne;615;Mirchel;483;187;38.7;3;0;184;55;129;29.9
2;Bern / Berne;616;Münsingen;9'598;4'862;50.7;128;0;4'734;1'370;3'364;28.9
2;Bern / Berne;617;Niederhünigen;538;254;47.2;10;0;244;63;181;25.8
2;Bern / Berne;619;Oberdiessbach;2'790;1'318;47.2;34;10;1'274;396;878;31.1
2;Bern / Berne;620;Oberthal;634;238;37.5;13;0;225;66;159;29.3
