Kantons-Nummer;Kanton;Gemeinde-Nummer;Gemeinde;Stimmberechtigte;eingelegte Stimmzettel;Stimmbeteiligung;leere Stimmzettel;ungültige Stimmzettel;gültige Stimmen;Ja-Stimmen;Nein-Stimmen;Ja in Prozent
26;Jura;6742;Les Bois;980;339;34.6;12;1;326;94;232;28.8
26;Jura;6743;Les Breuleux;1'096;441;40.2;9;0;432;123;309;28.5
26;Jura;6744;La Chaux-des-Breuleux;86;44;51.2;4;0;40;15;25;37.5
26;Jura;6745;Les Enfers;120;66;55.0;1;0;65;14;51;21.5
26;Jura;6748;Les Genevez (JU);435;139;32.0;2;0;137;43;94;31.4
26;Jura;6750;Lajoux (JU);573;199;34.7;6;0;193;32;161;16.6
26;Jura;6751;Montfaucon;458;186;40.6;11;0;175;44;131;25.1
26;Jura;6753;Muriaux;470;188;40.0;1;0;187;56;131;29.9
26;Jura;6754;Le Noirmont;1'378;487;35.3;14;0;473;120;353;25.4
26;Jura;6757;Saignelégier;2'117;724;34.2;12;0;712;153;559;21.5
26;Jura;6758;Saint-Brais;192;68;35.4;4;0;64;12;52;18.8
26;Jura;6759;Soubey;128;39;30.5;2;0;37;17;20;45.9
26;Jura;6771;Alle;1'400;480;34.3;19;1;460;154;306;33.5
26;Jura;6773;Beurnevésin;112;50;44.6;1;0;49;9;40;18.4
26;Jura;6774;Boncourt;1'010;353;35.0;12;1;340;115;225;33.8
26;Jura;6775;Bonfol;601;190;31.6;8;0;182;55;127;30.2
26;Jura;6778;Bure;563;199;35.3;6;0;193;79;114;40.9
26;Jura;6781;Coeuve;570;210;36.8;3;2;205;61;144;29.8
26;Jura;6782;Cornol;793;226;28.5;5;4;217;74;143;34.1
26;Jura;6783;Courchavon;230;93;40.4;2;2;89;31;58;34.8
26;Jura;6784;Courgenay;1'809;576;31.8;7;17;552;164;388;29.7
26;Jura;6785;Courtedoux;584;211;36.1;13;4;194;59;135;30.4
26;Jura;6787;Damphreux;153;98;64.1;2;0;96;32;64;33.3
26;Jura;6789;Fahy;290;111;38.3;6;2;103;35;68;34.0
26;Jura;6790;Fontenais;1'302;469;36.0;18;0;451;118;333;26.2
